url,class,reason,expected_redirect,source_of_discovery,target,status_target,redirect_hops,in_sitemap,internal_references,hreflang_references,action
https://cityee.ee/sell,B,old prefixless EN -> /en/sell-property,yes,historical crawl,https://cityee.ee/en/sell-property,200,1,no,no,no,KEEP
https://cityee.ee/rent,B,old prefixless EN -> /en/rent-out-property,yes,historical crawl,https://cityee.ee/en/rent-out-property,200,1,no,no,no,KEEP
https://cityee.ee/ru/kvartira-ne-prodaetsya,E,old RU "not selling" slug -> current Phase 3 landing,yes,historical crawl,https://cityee.ee/ru/ne-prodaetsya-kvartira-v-tallinne,200,1,no,no,no,KEEP
https://cityee.ee/knowledge/labiraakimiste-strateegia-kinnisvara,E,negotiation pillar slug typo fix (double aa),yes,historical crawl,https://cityee.ee/knowledge/labirakimiste-strateegia-kinnisvara,200,1,no,no,no,KEEP
https://cityee.ee/guides/seo-strategi-2026,D,removed SEO guide -> guides index (link equity),yes,historical crawl,https://cityee.ee/guides,200,1,no,no,no,KEEP
https://cityee.ee/guides/geo-aeo-ai-optimizatsiya,D,removed SEO guide -> guides index,yes,historical crawl,https://cityee.ee/guides,200,1,no,no,no,KEEP
https://cityee.ee/ru/guides/seo-strategi-2026,D,removed SEO guide -> RU guides index,yes,historical crawl,https://cityee.ee/ru/guides,200,1,no,no,no,KEEP
https://cityee.ee/ru/guides/geo-aeo-ai-optimizatsiya,D,removed SEO guide -> RU guides index,yes,historical crawl,https://cityee.ee/ru/guides,200,1,no,no,no,KEEP
https://cityee.ee/wp-admin,B,WordPress crawl bait on non-WP site -> root,yes,bot crawl,https://cityee.ee/,200,1,no,no,no,KEEP
https://cityee.ee/index.php,B,legacy index file -> root,yes,historical crawl,https://cityee.ee/,200,1,no,no,no,KEEP
